# harness	differential-sweep/1
# seed	20260817
# reference	historical
# subject	stub-faithful
# sha256.use.jar	80ac8ae433b8345677472019991356950f094f4a104cfbce1f75783a7308788d
# sha256.atenearesearchgroup.uncertainty.jar	53b2a43feb0a0a39844a60278dd80a7d4b975ef324fb05c6db28831e835e59d0
# operations	URealValue.add(value)
# rows	784
# rows.measured	784
# rows.agreement	784
# rows.disagreement	0
# rows.throwClassMismatch	0
# verdict.AGREE	784
index	operation	inputs	historical	ported	verdict	note
0	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(0.0,0.0)	UREAL(0.0,0.0)	UREAL(0.0,0.0)	AGREE	
1	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(0.0,1.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
2	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-0.0,0.0)	UREAL(0.0,0.0)	UREAL(0.0,0.0)	AGREE	
3	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(1.0,0.0)	UREAL(1.0,0.0)	UREAL(1.0,0.0)	AGREE	
4	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(1.0,1.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
5	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-1.0,0.0)	UREAL(-1.0,0.0)	UREAL(-1.0,0.0)	AGREE	
6	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-1.0,1.0)	UREAL(-1.0,1.0)	UREAL(-1.0,1.0)	AGREE	
7	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-1.0,0.5)	UREAL(-1.0,0.5)	UREAL(-1.0,0.5)	AGREE	
8	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(0.5,0.5)	UREAL(0.5,0.5)	UREAL(0.5,0.5)	AGREE	
9	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-0.5,0.25)	UREAL(-0.5,0.25)	UREAL(-0.5,0.25)	AGREE	
10	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(2.0,0.0)	UREAL(2.0,0.0)	UREAL(2.0,0.0)	AGREE	
11	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(100.0,0.001)	UREAL(100.0,0.001)	UREAL(100.0,0.001)	AGREE	
12	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-100.0,0.001)	UREAL(-100.0,0.001)	UREAL(-100.0,0.001)	AGREE	
13	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(4.9E-324,0.0)	UREAL(4.9E-324,0.0)	UREAL(4.9E-324,0.0)	AGREE	
14	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,0.0)	AGREE	
15	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,0.0)	AGREE	
16	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(NaN,0.0)	UREAL(NaN,0.0)	UREAL(NaN,0.0)	AGREE	
17	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(Infinity,0.0)	UREAL(Infinity,0.0)	UREAL(Infinity,0.0)	AGREE	
18	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	UREAL(-Infinity,0.0)	AGREE	
19	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(1.0,NaN)	UREAL(1.0,NaN)	UREAL(1.0,NaN)	AGREE	
20	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(1.0,Infinity)	UREAL(1.0,Infinity)	UREAL(1.0,Infinity)	AGREE	
21	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(1.0,-1.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
22	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-46.064505,0.782649)	UREAL(-46.064505,0.782649)	UREAL(-46.064505,0.782649)	AGREE	
23	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(28.230986,0.91554)	UREAL(28.230986,0.91554)	UREAL(28.230986,0.91554)	AGREE	
24	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(47.696811,0.395191)	UREAL(47.696811,0.395191)	UREAL(47.696811,0.395191)	AGREE	
25	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-61.870069,0.428633)	UREAL(-61.870069,0.428633)	UREAL(-61.870069,0.428633)	AGREE	
26	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(-98.361875,0.358527)	UREAL(-98.361875,0.358527)	UREAL(-98.361875,0.358527)	AGREE	
27	URealValue.add(value)	UREAL(0.0,0.0) | UREAL(37.640335,0.974834)	UREAL(37.640335,0.974834)	UREAL(37.640335,0.974834)	AGREE	
28	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(0.0,0.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
29	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(0.0,1.0)	UREAL(0.0,1.4142135623730951)	UREAL(0.0,1.4142135623730951)	AGREE	
30	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-0.0,0.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
31	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(1.0,0.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
32	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(1.0,1.0)	UREAL(1.0,1.4142135623730951)	UREAL(1.0,1.4142135623730951)	AGREE	
33	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-1.0,0.0)	UREAL(-1.0,1.0)	UREAL(-1.0,1.0)	AGREE	
34	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-1.0,1.0)	UREAL(-1.0,1.4142135623730951)	UREAL(-1.0,1.4142135623730951)	AGREE	
35	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-1.0,0.5)	UREAL(-1.0,1.118033988749895)	UREAL(-1.0,1.118033988749895)	AGREE	
36	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(0.5,0.5)	UREAL(0.5,1.118033988749895)	UREAL(0.5,1.118033988749895)	AGREE	
37	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-0.5,0.25)	UREAL(-0.5,1.0307764064044151)	UREAL(-0.5,1.0307764064044151)	AGREE	
38	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(2.0,0.0)	UREAL(2.0,1.0)	UREAL(2.0,1.0)	AGREE	
39	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(100.0,0.001)	UREAL(100.0,1.000000499999875)	UREAL(100.0,1.000000499999875)	AGREE	
40	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-100.0,0.001)	UREAL(-100.0,1.000000499999875)	UREAL(-100.0,1.000000499999875)	AGREE	
41	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(4.9E-324,0.0)	UREAL(4.9E-324,1.0)	UREAL(4.9E-324,1.0)	AGREE	
42	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(1.7976931348623157E308,0.0)	UREAL(1.7976931348623157E308,1.0)	UREAL(1.7976931348623157E308,1.0)	AGREE	
43	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-1.7976931348623157E308,0.0)	UREAL(-1.7976931348623157E308,1.0)	UREAL(-1.7976931348623157E308,1.0)	AGREE	
44	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(NaN,0.0)	UREAL(NaN,1.0)	UREAL(NaN,1.0)	AGREE	
45	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(Infinity,0.0)	UREAL(Infinity,1.0)	UREAL(Infinity,1.0)	AGREE	
46	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-Infinity,0.0)	UREAL(-Infinity,1.0)	UREAL(-Infinity,1.0)	AGREE	
47	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(1.0,NaN)	UREAL(1.0,NaN)	UREAL(1.0,NaN)	AGREE	
48	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(1.0,Infinity)	UREAL(1.0,Infinity)	UREAL(1.0,Infinity)	AGREE	
49	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(1.0,-1.0)	UREAL(1.0,1.4142135623730951)	UREAL(1.0,1.4142135623730951)	AGREE	
50	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-46.064505,0.782649)	UREAL(-46.064505,1.269858046082711)	UREAL(-46.064505,1.269858046082711)	AGREE	
51	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(28.230986,0.91554)	UREAL(28.230986,1.355807320971531)	UREAL(28.230986,1.355807320971531)	AGREE	
52	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(47.696811,0.395191)	UREAL(47.696811,1.0752562143419586)	UREAL(47.696811,1.0752562143419586)	AGREE	
53	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-61.870069,0.428633)	UREAL(-61.870069,1.0879918421978172)	UREAL(-61.870069,1.0879918421978172)	AGREE	
54	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(-98.361875,0.358527)	UREAL(-98.361875,1.0623283907196492)	UREAL(-98.361875,1.0623283907196492)	AGREE	
55	URealValue.add(value)	UREAL(0.0,1.0) | UREAL(37.640335,0.974834)	UREAL(37.640335,1.3965318927815433)	UREAL(37.640335,1.3965318927815433)	AGREE	
56	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(0.0,0.0)	UREAL(0.0,0.0)	UREAL(0.0,0.0)	AGREE	
57	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(0.0,1.0)	UREAL(0.0,1.0)	UREAL(0.0,1.0)	AGREE	
58	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-0.0,0.0)	UREAL(-0.0,0.0)	UREAL(-0.0,0.0)	AGREE	
59	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(1.0,0.0)	UREAL(1.0,0.0)	UREAL(1.0,0.0)	AGREE	
60	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(1.0,1.0)	UREAL(1.0,1.0)	UREAL(1.0,1.0)	AGREE	
61	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-1.0,0.0)	UREAL(-1.0,0.0)	UREAL(-1.0,0.0)	AGREE	
62	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-1.0,1.0)	UREAL(-1.0,1.0)	UREAL(-1.0,1.0)	AGREE	
63	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(-1.0,0.5)	UREAL(-1.0,0.5)	UREAL(-1.0,0.5)	AGREE	
64	URealValue.add(value)	UREAL(-0.0,0.0) | UREAL(0.5,0.5)	UREAL(0.5,0.5)	UREAL(0.5,0.5)	AGREE	
