# harness	differential-sweep/1
# seed	20260817
# reference	historical
# subject	stub-faulty-minus
# sha256.use.jar	80ac8ae433b8345677472019991356950f094f4a104cfbce1f75783a7308788d
# sha256.atenearesearchgroup.uncertainty.jar	53b2a43feb0a0a39844a60278dd80a7d4b975ef324fb05c6db28831e835e59d0
# operations	URealValue.minus(value)
# rows	784
# rows.measured	784
# rows.agreement	558
# rows.disagreement	226
# rows.throwClassMismatch	0
# rows.javaTypeMismatch	0
# rows.subjectTypeObserved	0
# rows.subjectTypeAssumed	0
# verdict.AGREE	558
# verdict.DIFFER	226
# op.URealValue.minus(value).rows	784
# op.URealValue.minus(value).measured	784
# op.URealValue.minus(value).agreement	558
# op.URealValue.minus(value).disagreement	226
# op.URealValue.minus(value).javaTypeMismatch	0
# op.URealValue.minus(value).subjectTypeObserved	0
# op.URealValue.minus(value).subjectTypeAssumed	0
# op.URealValue.minus(value).distinctReferenceValues	389
# op.URealValue.minus(value).discriminating	true
# accepted.degenerateOperations	0
index	operation	inputs	historical	ported	verdict	note
0	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(0.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	AGREE	
1	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(0.0,1.0)@URealValue	UREAL(0.0,1.0)@URealValue	UREAL(0.0,1.0)@URealValue	AGREE	
2	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(-0.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	UREAL(0.0,0.0)@URealValue	AGREE	
3	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(1.0,0.0)@URealValue	UREAL(-1.0,0.0)@URealValue	UREAL(-1.0,0.0)@URealValue	AGREE	
4	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(1.0,1.0)@URealValue	UREAL(-1.0,1.0)@URealValue	UREAL(-1.0,1.0)@URealValue	AGREE	
5	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(-1.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	UREAL(1.0,0.0)@URealValue	AGREE	
6	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(-1.0,1.0)@URealValue	UREAL(1.0,1.0)@URealValue	UREAL(1.0,1.0)@URealValue	AGREE	
7	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(-1.0,0.5)@URealValue	UREAL(1.0,0.5)@URealValue	UREAL(1.0,0.5)@URealValue	AGREE	
8	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(0.5,0.5)@URealValue	UREAL(-0.5,0.5)@URealValue	UREAL(-0.5,0.5)@URealValue	AGREE	
9	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(-0.5,0.25)@URealValue	UREAL(0.5,0.25)@URealValue	UREAL(0.5,0.25)@URealValue	AGREE	
10	URealValue.minus(value)	UREAL(0.0,0.0)@URealValue | UREAL(2.0,0.0)@URealValue	UREAL(-2.0,0.0)@URealValue	UREAL(-2.0,0.0)@URealValue	AGREE	
